transaction_id,vin,fuel_liters,odometer_reading,timestamp
TXN_0021425,P14NVV4N,223.57,211558,2020-01-31 06:21:22
TXN_1234567X,VUAZXKDQ,304.47,438623,2024-01-23 01:02:39
TXN_0051016,U88YY5A3,99.31,91402,2020-03-26 10:32:56
TXN_0013830,WRMFDME2,359.62,261349,2020-01-29 15:01:18
TXN_0077529,W9Z0NJ0Z,76.46,223785,2020-05-30T00:37:33Z
TXN_0007476,WJY8MGEF,"321,19",240351,2019-12-27 00:33:35
TXN_0094195,K9GA3U3F,370.76,82602,2020-11-16 00:32:03
TXN_0094276,645FZP8D,232.61,360612,2021-05-11 11:55:12
TXN_0038149,NMA9ZOQ6,261.93,25654,2020-02-04 04:43:09
TXN_0068124,3EXS4CYQ,302.23,158011,2020-07-15 19:47:23
TXN_0043955,5PXOBZMR,104.31,269994,2020-01-22 23:25:06
TXN_0063421,PU780HMQ,336.49,289169,2020-02-07 04:30:56
TXN_0033177,CAAY4UFJ,373.65,167397,2020-03-29 06:36:34
TXN_0025939,XSU6LLU7,281.05,229811,2020-05-02 20:27:15
TXN_0036947,FCR5V730,394.78,152445,2020-04-11 04:10:33
TXN_0090072,CMLE1FGU,334.55,90936,2020-09-05 18:56:01
TXN_0089541,ARCS0IYY,43.42,186411,2020-04-29 22:18:01
TXN_0081490,2CBAQQ7C,184.23,51588,2020-07-15 15:12:58
TXN_0088604,Y79LP5SK,71.54,59329,1587061520
TXN_0012434,5U136KSR,140.16,40930,2020-01-18 17:22:14
TXN_0020015,IK9HKKH3,307.77,253238,2020-01-05 12:11:04
TXN_0078089,376QWVGF,292.28,60558,2020-03-01 08:27:04
TXN_0017366,IGWJ5P7W,234.35,278912,2019-12-28T09:24:36+05:30
TXN_0000536,KBDL8JY4,98.4,177094,2019-12-13 06:51:52
TXN_0052320,DTO8AUBY,105.45,31328,2020-04-05 09:12:06
TXN_0020660,OQYQ33PO,259.57,291312,2020-03-30T08:16:15
TXN_0012902,8TH6CZOU,103.69,307365,2020-03-07 04:47:09
TXN_0024753,EB900YEH,"333,98",153897,2020-01-06 07:50:19
TXN_0020130,R5XFF0T0,77.99,233953,2020-01-12 17:58:52
TXN_0037880,EPC3UZH8,279.72,120009,1587713276000
TXN_0001887,LPXN9ECA,143.08,288158,2020-01-02 16:41:00
TXN_0067798,V4KFIWKE,"257,74",75191,2020-04-12 14:52:05
TXN_0057075,86FCEJK0,44.8,133632,2020-02-29 01:18:55
TXN_0052289,BJ91QOE5,177.62,306783,2020-04-09 05:51:48
TXN_0048988,536IC7F8,122.43,196178,2020-04-20 12:38:15
TXN_0065561,NP04BVSM,50.94,306582,1585263301000
TXN_0060777,OK9BSQPX,"149,62",150618,2020-05-11 09:41:06
TXN_0035510,JWFQ84GD,361.45,25541,2020-01-24 03:05:35
TXN_0036125,9ESNF3LP,375.32,180232,2020-02-05 18:43:05
TXN_0097358,4V8YVGQN,1024.46,128,2020-06-13 07:38:31
TXN_0097725,7PRM9943,236.64,263404,2020-04-14 09:20:08
TXN_0060515,M8ECKC54,51.58,188749,2020-04-02T22:47:24
TXN_0058926,XJVE3DZE,235.42,33469,2020-04-06 15:56:05
TXN_0063158,3S6UWXE4,"355,88",43126,2020-05-26 00:54:01
TXN_0041889,6YMBNBOR,184.6,193459,1587401856
TXN_0053686,45A4520S,71.13,222313,1583616919
TXN_0081712,IHCGU93S,184.18,57218,2020-03-23 16:21:42
TXN_0030378,0IW99WS4,113.13,286020,2020-03-29 03:32:09
TXN_0070064,FOJ7OGN9,364.64,46681,2020-03-14 06:58:25
TXN_0008565,XCUJRXPG,332.76,173210,2020-02-11 03:37:09
TXN_0056427,ST76Q98H,293.73,84169,2020-05-02 19:11:56
TXN_0032175,OGKNENC9,224.93,287059,2020-02-29
TXN_0018844,9744BII3,292.6,98545,2020-02-21 03:35:47
TXN_0090652,1PJQ50XC,150.63,305860,2020-05-07 18:49:58
