vin,service_date,service_type
EE1R0W22,2024-10-10,Air Filter Replacement
Y5I4DFA2,2022-04-25,AC Service
X4NTQVNM,2021-12-05,Coolant Flush
CUUGJWVX,2025-03-24,Oil Change
A5YOTYR5,2021-09-16,Brake Inspection
W3GTY9L1,2020-11-13,Suspension Check
S6GB3MWA,2021-04-14,Oil Change
UAKTBW6P,2026-09-21,AC Service
3839Z01P,2025-02-10,Oil Change
EZTWAUEO,2025-08-16,Electrical System Audit
K38P6FVD,2019-11-23,  Tire Rotation  
AZ7GKXQ9,2020-02-17,Battery Replacement
UA5ER5Q4,2021-08-20,Battery Replacement
O8PNBIFE,2023-09-04,Transmission Service
W9Z0NJ0Z,2021-08-12,Exhaust System Check
M8EAZ0QN,2026-02-01,electrical system audit
T2JA3JA2,2026-08-01,Tire Rotation
Z71CZ6ET,2023-04-21,Suspension Check
1HTYFMTO,2023-11-10,Transmission Service
MUGR1M1E,2026-05-03,Electrical System Audit
EPRN2SNZ,2021-09-07,Suspension Check
ORD02HG4,2025-12-19,eLECTRICAL sYSTEM aUDIT
FAS1EKTY,2022-05-06,Coolant Flush
1BZHN3R7,2023-01-10,Tire Rotation
DJIOU2H3,2026-07-24,Wheel Alignment
YGY51D1V,2020-04-21,Brake Inspection
JYV97JI7,2024-03-21,wheel alignment
HLOC9W89,2021-08-14,Brake Inspection
E3DLG7AP,2020-08-24,Brake Inspection
55MUBZU2,2026-02-01,Oil Change
WCD8LBB0,2021-03-11 04:19:14,Coolant Flush
A47G4E0E,2026-05-02,Exhaust System Check
QBFON7V1,2026-06-19,Tire Rotation
WAYTOOLONGVIN1234,2018-07-20,Transmission Service
9S5I43K2,2022-11-19,Coolant Flush
CKFKPJ6Q,2026-11-29,Oil Change
5JG1XYV4,2024-03-26,electrical system audit
AZCAMWER,2019-05-12,Transmission Service
XKDRU4C2,2022-07-04,Brake Inspection
GYZTHQSE,2021-09-13,Fuel System Cleaning
GMVV6V3V,2026-03-25,Suspension Check
M7B5C81J,2026-02-04,Brake Inspection
YZALO45E,2024-09-29,Wheel Alignment
UGSR9N1V,  2021-08-08  ,Oil Change
6MPM3LW8,2024-08-19,Brake Inspection
H5AQ78SO,2020-12-12,oil change
98X16F4Z,2024-02-07,sUSPENSION cHECK
7ABM4ML2,2022-06-09,AC Service
8WSPF198,2015-06-27,Wheel Alignment
WPGZ5RKS,  2023-08-16  ,Wheel Alignment
ZY7JRCI4,2018-08-23,Exhaust System Check
JLLZ90Z2,2022-07-01,Electrical System Audit
3VPJUWHH,2024-09-28,Fuel System Cleaning
XXWSI1CO,2026-02-05,Brake Inspection
ECF61J3I,2022-09-17,Suspension Check
SDJHN8E6,2025-08-27,Engine Overhaul OR 1=1
AWJVXJAP,2019-02-28,Engine Overhaul
IJRU65P1,2018-02-22,Oil Change
XCLSDWHL,2024-03-26,Oil Change
