vin,driver_id,start_timestamp,end_timestamp,daily_rate,region
SMFGHEE1,DRV_2851,1064594792,1079520209,4031.74,North-West
LA17QQF4,DRV_8478,1410151905,1425545065,4595.63,South-East
HOLI5408,DRV_5555,1506170876,1518656155,1011.32,South
QIZ4321L,DRV_6804,1286422705,1294579354,2209.74,East
1D5C21O6,DRV_2533,1624849022,1632988030,3895.1,South-West
TE19KTXR,DRV_9762,1150501196,1159932546,2069.31,Overseas
FKPA2TVM,DRV_3333,1556873565,1558557078,3684.03,South-East
GPP3SUYQ,DRV_0813,1452821360,1459690366,3357.93,South-West
2BBCKMR8,DRV_5033,1633015420,1642060976,4281.66,East
MBR9YVY0,DRV_7285,1164891286,1175873758,508.23,West
KK3TAM4B,DRV_8057,1408539336,1422646656,3053.55,North-East
BP8B1VFO,DRV_9318,1204017968,1205691751,660.21,East
93H37K5I,DRV_1406,1239116364,1239862534,2615.03,Central
1TSV7KVL,DRV_3475,1634583329,,2693.08,South
19NR2I2J,DRV_4274,1567060098,1571215194,4320.6,Central
V91TTSHE,DRV_9249,1531734392,1533705092,1508.59,North-East
2FTA08CH,DRV_1595,1329895450,,1220.45,South
G8D2TN20,DRV_6249,1661751539,1666183570,3548.7,North-West
SJ2QS9D3,DRV_3131,1042334628,1047942807,4250.79,North-East
PBQEW25E,DRV_5223,1316001182,1326657407,3872.73,Overseas
none,DRV_3847,1488671387,1494092818,2479.96,North-East
A5VV4ADY,DRV_3204,1033433195,1046724641,2659.96,South-West
COWVUXOO,DRV_5642,1597240733,1602247018,1721.16,South
KP30TX8J,DRV_2798,1549548906,1550566773,2062.1,North
HI1RD5B2,DRV_5917,1600597968,,4689.14,South-West
DTJ7XCGF,DRV_4893,1234755438,1236163425,4328.4,South
W31D6K6Q,DRV_4549,1028940710,1035395694,537.23,South
67ADREBH,DRV_8899,963734826,964081445,3310.31,East
US37UOBA,DRV_6057,982207364,992112156,4058.85,West
VBNK0SCJ,DRV_8600,1098604140,1099325687,3294.14,Overseas
D6Z5BB70,DRV_8182,1435498783,1438090783,2653.04,North-East
RWDWF1TQ,DRV_1663,1385959294,1398065186,3342.75,North
G79QZ2DT,DRV_4180,1627229069,1627352341,4046.7,North
222G3XFZ,DRV_4291,1470728573,1474678969,4640.22,South-East
SCHA50G7,DRV_0658,1181632465,1192238540,3065.32,Overseas
B6HXCK1F,DRV_2717,1465615500,1472433770,2452.21,Central
N8LYTG2O,DRV_5160,1526308552,1529370883,1529.69,South-West
5TZV9ZP3,DRV_1849,1094233069,1101843202,1870.84,East
BEFRDV64,DRV_0836,1007036747,1008437561,4442.18,East
U0QI2PEV,DRV_3734,1171337043,1185777856,3254.1,South
Z8T3W0VX,DRV_6097,1483955061,1493243545,1427.8,North-West
2M5X8NQO,DRV_2648,1549424102,1550591746,4691.19,North
RWO4K0VK,DRV_7045,1083054201,1083828970,1070.94,North-East
31K26GFX,DRV_1865,1514598985,,3928.39,North-West
XR16E2R9,DRV_2081,1261977082,1274370501,3715.73,South-East
OEARNWAW,DRV_9744,1620276276,1620564600,4714.52,South-West
