vin,model,mfg_year,fuel_type,base_kmpl
0PC7HZN5,Chevrolet Silverado 4500HD,2023,Diesel,13.97
L3MLNPSF,Arrival Van,2017,Diesel,6.01
EM2BGA7S,Volvo VNL,2025,Petrol,11.21
RRRRRRRR,Kenworth T680,2019,LNG,11.71
FXWT4SNH,International LT,2012,Petrol,15.72
V16XEGHP,Chevrolet Silverado 4500HD,2012,CNG,13.23
W2EB5FA7,Hino 268,2019,Hybrid,10.86
UM1Q9DVO,Hino 268,2004,LNG,9.12
WB00N114,Thomas Saf-T-Liner,2004,LNG,11.82
SR8XT2K1,Ram ProMaster,2022,Electric,5.76
7OONNCIL,Peterbilt 579,2026,Petrol,14.58
TS91AFF0,International LT,2018,diesel,16.13
AURL33TR,Blue Bird All American,2018,Electric,5.48
XX1W36CO,Mack Anthem,2023,CNG,11.0
3L26YXK,International LT,2005,CNG,14.14
TXCY1R4R,Hino 268,2016,CNG,15.91
3S87SOLH,Mack Anthem,2025,CNG,15.02
IVBTXDMB,IC Bus CE Series,2024,Petrol,7.65
NT9IWRSB,Isuzu NPR,2022,Petrol,"8,34"
FAA4QP7S,Rivian EDV,2020,Diesel,12.08
ZQGL40PR,Chevrolet Silverado 4500HD,2000,Petrol,14.88
HV6ID2BN,4814,2008,CNG,11.54
6Z9HFTLK,Ram ProMaster,2015,Petrol,16.56
YDMT8VT4,Ram ProMaster,2013,Hybrid,21.59
SN1SL17Y,"Freightliner M2, Heavy Duty",2014,Electric,5.5
5EJAJ88A,Ram ProMaster,2007,LNG,11.7
M8MIKM85,Blue Bird All American,2013,CNG,14.41
HPN6YHGB,Ford F-750,2010,LNG,7.45
LUVCTHBZ,IC Bus CE Series,2025,Diesel,7.84
  BVSCH4II  , Volvo VNL , 2011 , LNG , 12.69 
33FR30P9,Tesla Semi,2020,CNG,9.0
9ZUBCG04,Thomas Saf-T-Liner,2005,Diesel,5.45
QZQDN2D0B2X10WVKIHSL,Mack Anthem,2008,Hybrid,11.98
NEEKDU4L,Tesla Semi,2023,Electric,-17.91
XHDQF8C6,Arrival Van,2016,CNG,"14,48"
X45GJBFW,IC Bus CE Series,2024,Diesel,unknown
YUPMANQY,Thomas Saf-T-Liner,2006,Petrol,13.4
F28IJ6NL,Thomas Saf-T-Liner,2017,Hybrid,10.72
89HCL526,Isuzu NPR,2009,LNG,8.92
FCOG7GVM,Hyundai XCIENT,2019,Diesel,14.94
79G20YT1,Chevrolet Silverado 4500HD,2006,LNG,13.16
MFXTI0BU,Freightliner M2,2004,LNG,9.39
MS4VZV6U,"Freightliner M2, Heavy Duty",2022,Diesel,5.96
18L30PYN,Chevrolet Silverado 4500HD,2014,Diesel,13.96
55IF3BQ0,Hyundai XCIENT,2013,Petrol,0
GFT8DV0M,Ford Transit,2003,Electric,4.2
LFSI0LJ7,Rivian EDV,2009,Hybrid,12.11
P18A4JVK,Kenworth T680,2001,Hybrid,13.35
61ZS4ES9,Arrival Van,2010,Hybrid,20.18
ABWM15GM,Ford F-750,2023,Electric,3.18
1503OG6A,Arrival Van,2006,CNG,11.2
Y82LUJW0,Isuzu NPR,2022,Petrol,16.4
S6JBVIMZ,Isuzu NPR,2006,CNG,13.94
Y4RGPMC5,Arrival Van,2001,Diesel,9.31
545YRWVT,Ford F-750,2003,LNG,8.53
ARX3DA1L,Blue Bird All American,2020,Diesel,12.37
5I6SEZOC,Ram ProMaster,2024,CNG,17.3645189651
SVU3NPWA,Volvo VNL,N/A,LNG,8.6
VNGCFOLT,Ford F-750,2009,CNG,10.42
JJ460638,Blue Bird All American,2011,Petrol,11.14
F32BCQUN,Chevrolet Silverado 4500HD,2024,LNG,12.41
1ZF35YPE,Western Star 5700XE,2001,LNG,10.01
OHXLMM4R,Isuzu NPR,2008,Electric,20.83
LJ8XTXE0,Arrival Van,2025.4,Petrol,9.19
8OSUTUG4,Ford F-750,2013,cng,21.96
0MGUM2D0,Western Star 5700XE,2018,CNG,10.07
9AZL70QV,Freightliner M2,2024,Diesel,8.74
7z5q9t63,Volvo VNL,2011,Electric,5.07
VXPSDCKM,"Freightliner M2, Heavy Duty",2014,Hybrid,20.98
T1TZU9QE,International LT,2020,Hybrid,17.0
23HAQRAD,Peterbilt 579,2021,Diesel,10.4
TVFH7B0A,Western Star 5700XE,2006,CNG,9.87
FL2MOXQ9,BYD 8TT,2000,Petrol,7.92
RBAB7JFQ,Kenworth T680,2016,Electric,3.16
6U2BZQST,Kenworth T680,2026,Electric,3.62
ZI3M9TR5,Hino 268,2006,LNG,7.99
WX0IOUIS,Nikola Tre,2003,Hybrid,14.65
XWYZR3CU,Chevrolet Silverado 4500HD,2025,Hybrid,16.06
13DNZGA3,Mercedes Sprinter,2000,Diesel,14.85
5BDWA5RU,Chevrolet Silverado 4500HD,2022,CNG,11.7
W23OGQ7Y,Ram ProMaster,2020,Hybrid,17.8
9F6CTY5G,Rivian EDV,2021,CNG,15.47
UINII5LZ,International LT,2012,Electric,4.27
   ,	, ,  , 
Y9AM5T7C,"Freightliner M2, Heavy Duty",2019,Diesel,11.14
0Z0E677M,Kenworth T680,2009,LNG,9.54
DOSVN5L6,Peterbilt 579,2013,CNG,12.18
IQ8SYO2H,Volvo VNL,2019,Diesel,13.81
V17MIAV1,International LT,2025,Electric,5.88
LF52P9I1,Western Star 5700XE,2017,Hybrid,13.19
8R3YHSEV,Ram ProMaster,2002,Petrol,8.71
NSQHACME,Arrival Van,2004,Hybrid,15.02
47NX1QSN,Ram ProMaster,2011,LNG,12.23
TJDU6J35,Hyundai XCIENT,2012,Hybrid,20.63
YM7D019L,Rivian EDV,2005,Hybrid,12.42
